animal,"('I want you to take all those out and tell me what kinda animal they be', 'Mother')","[1, ('and there the little pig', 'Mother'), 'pig']",,
animal,"('what animal', 'Target_Child')","[1, ('and they catch another plane', 'Mother'), 'cat']",,
animal,"('shall we do the farm animal', 'Mother')","[1, ('be that pig fun', 'Mother'), 'pig']",,
animal,"('yes a animal call a zebra', 'Mother')","[1, ('be you sure that what cow say', 'Mother'), 'cow']",,
animal,"('can you pick up Investigator_one toy for her and animal', 'Mother')","[1, ('boy it look pretty complicate Child', 'Mother'), 'cat']",,
animal,"('what this animal', 'Mother')","[1, ('cow', 'Target_Child'), 'cow']",,
animal,"('animal', 'Target_Child')","[1, ('cow', 'Target_Child'), 'cow']",,
animal,"('these look like zoo animal', 'Mother')","[1, ('cow', 'Target_Child'), 'cow']",,
animal,"('these look like zoo animal', 'Mother')","[1, ('cow', 'Target_Child'), 'cow']","[3, ('you want a pig', 'Mother'), 'pig']",
animal,"('what a fun animal', 'Mother')","[1, ('do you want to get dress to go see piglet', 'Mother'), 'pig']",,
animal,"('remember that little animal', 'Mother')","[1, ('dog', 'Target_Child'), 'dog']",,
animal,"('do you know this animal', 'Mother')","[1, ('grab it like you do the dog', 'Mother'), 'dog']",,
animal,"('what this animal', 'Mother')","[1, ('have no more dog', 'Target_Child'), 'dog']",,
animal,"('a animal go around in a crate', 'Mother')","[1, ('I do mean with these I mean with this whole vacation', 'Father'), 'cat']",,
animal,"('there no farm animal', 'Mother')","[1, ('I get a poodle dog and a collie dog and a pony and a cow that lie down', 'Mother'), 'dog']",,
animal,"('there no farm animal', 'Mother')","[1, ('I get a poodle dog and a collie dog and a pony and a cow that lie down', 'Mother'), 'dog']","[1, ('I get a poodle dog and a collie dog and a pony and a cow that lie down', 'Mother'), 'cow']",
animal,"('should we put a animal in there', 'Mother')","[1, ('I need a cow', 'Target_Child'), 'cow']",,
animal,"('Badega be a little animal remember', 'Mother')","[1, ('I think that a glass of cow milk', 'Mother'), 'cow']",,
animal,"('they so many nice animal on this blanket that Bosa make', 'Mother')","[1, ('kitty cat cry', 'Target_Child'), 'cat']",,
animal,"('what else animal there', 'Target_Child')","[1, ('kurpa cat', 'Mother'), 'cat']",,
animal,"('what kind of animal be at the zoo', 'Father')","[1, ('look the bunny eat the carrot', 'Father'), 'bunny']",,
animal,"('okay let me put their animal up and get some other one', 'Father')","[1, ('medicine for the dog', 'Mother'), 'dog']",,
animal,"('okay let me put their animal up and get some other one', 'Father')","[1, ('medicine for the dog', 'Mother'), 'dog']","[4, ('the turtle talk to the cat', 'Father'), 'cat']",
animal,"('we put all the animal back in', 'Mother')","[1, ('moo say the cow', 'Mother'), 'cow']",,
animal,"('we put all the animal back in', 'Mother')","[1, ('moo say the cow', 'Mother'), 'cow']","[4, ('put the baby cow with the big cow', 'Mother'), 'cow']",
animal,"('those be farm animal', 'Investigator')","[1, ('night_night dog', 'Investigator'), 'dog']",,
animal,"('here we get some more animal', 'Mother')","[1, ('now where the cow', 'Mother'), 'cow']",,
