"","V5","animal","clothes","food","furniture","toy"
"123","sock",1,3,2,0,7
"124","soda",0,0,1.5,0,4
"125","sofa",0,1,0,1.5,1
"126","soup",3.5,0,1.5,0,0
"127","squirrel",0.5,0,6.5,0,0.5
"128","story",11.5,2,3.5,0,14.5
"129","stove",1.5,0,7,0,2
"130","strawberry",0,1,1.5,0,0.5
"131","sweater",0.5,0,0.5,0,0.5
"132","table",4.5,2.5,29.5,3,28
"133","tiger",3.5,0,5.5,0.5,0.5
"134","toast",0.5,1.5,4.5,0,1
"135","toy",23,8,18,0.5,0
"136","tuna",3,0,3,0,0
"137","turkey",1,1,3.5,0,1
"138","turtle",5,2.5,3.5,0,0.5
"139","tv",2,2,1.5,0,6.5
"140","vanilla",0,0,0,0,0.5
"141","water",36,7,41,0.5,32
"142","window",4,1,4.5,0,6
"143","wolf",2,1,0.5,0,0.5
"144","yogurt",2,2,9.5,0,0.5
"145","zebra",6.5,0,0.5,0,1
"146","zipper",0,0,0,0,0.5
