"","V5","animal","clothes","food","furniture","toy"
"1","alligator",4,0.5,2,0.5,2
"2","ant",1.5,0,5,0.5,0.5
"3","apple",4.5,3,11,0,19.5
"4","ball",14,6.5,12,0.5,44
"5","balloon",1,1.5,2,0,6
"6","banana",4,1,2,0,2
"7","bat",0,0,0,0,0.5
"8","bear",15.5,14,98,0,29
"9","bed",17.5,8,11,5.5,25.5
"10","bee",2.5,0,0,0,4.5
"11","belt",0.5,0,0.5,0,0
"12","bench",0,0,1.5,0,1
"13","bib",3.5,0,2,0,1.5
"14","bird",17.5,3,26,1,20.5
"15","block",7,4,2.5,0,24.5
"16","book",98.5,11.5,18.5,3.5,73.5
"17","bread",3,2.5,4.5,0,4.5
"18","bug",1,1.5,1,0,5
"19","bunny",3,4,8,0,11
"20","butter",1.5,1.5,15,0,4.5
"21","button",4,9.5,7,0,12
"22","cake",10.5,0.5,8.5,0.5,2.5
"23","candy",1.5,0.5,1.5,0,6
"24","cat",16,4.5,62.5,1.5,31
"25","cereal",0.5,0,5.5,0,4
"26","chair",7,5,17,2,33
"27","chalk",0,0,0,0,1
"28","cheese",1.5,3.5,11.5,0,12.5
"29","chicken",28,4,29,0,15
"30","chocolate",0,2,9.5,0.5,3
"31","closet",1.5,7,0.5,0,9
"32","coat",1,0.5,2,0,4.5
"33","coffee",7,1.5,4,0,5.5
"34","cookie",14.5,3.5,12,0,31
"35","corn",9.5,2,2.5,0,2
"36","couch",1,0.5,1.5,1.5,3
"37","cow",20.5,4,12.5,0,14.5
"38","cracker",34,0,2.5,0,2.5
"39","crayon",2.5,4,4.5,0,10.5
"40","crib",2,1,2.5,0,1.5
"41","deer",3,0,1,0,0
"42","diaper",6,8,3,1,5
"43","dog",19.5,8.5,130,1,30.5
"44","doll",18.5,54,8,7.5,21.5
"45","donkey",2,0,1,0,1
"46","door",10,7.5,16,1,27
"47","drawer",2.5,12.5,1,1.5,3
"48","dress",5,39,2.5,0.5,10.5
"49","drink",20,8.5,14.5,0,12.5
"50","dryer",0.5,19.5,0,0,0
"51","duck",13,3.5,20.5,1,10.5
"52","egg",11,2,5.5,0.5,15
"53","elephant",18.5,1.5,7.5,1,13
"54","fish",34,9,38,3,31
"55","food",21.5,5.5,0,1.5,14
"56","frog",6.5,0.5,1.5,0.5,5.5
"57","game",5,0.5,3,0,8
"58","garage",9,0.5,0,4.5,6.5
"59","giraffe",13,1,1,0,4.5
"60","glue",0.5,0,0,0,3
"61","goose",0.5,0,1,0,2
"62","gum",0.5,0,3,0.5,1
"63","hamburger",0,0,0.5,0,0.5
"64","hat",14.5,7.5,6.5,0,14
"65","hen",0,0,0,0,0.5
"66","horse",22.5,10,35,0.5,21.5
"67","ice",1,2,3,0.5,3.5
"68","jacket",2,2,0,0,2
"69","jello",0.5,0,0.5,0,0
"70","jelly",0,0,1.5,0,0.5
"71","juice",8.5,3.5,10.5,0,19
"72","kitchen",3.5,3,21,0.5,12
"73","kitty",8,4,20,0,18
"74","lamb",0.5,1,5,0.5,2
"75","lion",5,0.5,2,0.5,4
"76","lollipop",1,0,0,0,0
"77","meat",2.5,1,3,0,0.5
"78","milk",5.5,3,21.5,0,13
"79","monkey",7.5,0,10,0.5,17.5
"80","moose",3.5,0,0,0,0.5
"81","mouse",8,3,4.5,0.5,14.5
"82","muffin",0.5,0,0,0,0.5
"83","necklace",2,0,0,0,0.5
"84","nuts",3,0.5,1.5,0,3.5
"85","orange",3.5,4,8,0.5,9.5
"86","oven",0.5,1.5,6.5,0,1
"87","owl",1.5,1.5,1.5,0,3
"88","pajamas",3.5,0,0.5,0,4
"89","pancake",1,0.5,0,0,1
"90","pants",0,0.5,0.5,0,1
"91","pasta",0,0.5,0.5,0,0.5
"92","pen",12.5,0,2,0.5,6.5
"93","pencil",0,1,2,0,8
"94","penguin",5,0,1,0,1.5
"95","pickle",0,0.5,0,0,1.5
"96","pig",13.5,4,15.5,0.5,16
"97","pizza",0.5,1,0,0,0
"98","pony",2.5,0.5,0,0,1
"99","popsicle",1.5,0.5,0.5,0,0.5
"100","porch",0,0,0.5,0,0
"101","potato",3.5,1,2,0,1
"102","present",4.5,1,1,0,4.5
"103","pretzel",0.5,0,0,0,0.5
"104","pudding",0,0,0,0,0.5
"105","pumpkin",7.5,0,6.5,0,3
"106","puppy",3,0,7.5,0,4.5
"107","puzzle",13.5,2,2,0,7
"108","raisin",2,0,1,0,2
"109","refrigerator",0,0.5,7,0,0.5
"110","room",14.5,8.5,8.5,12,46.5
"111","rooster",0.5,0,0.5,0,4
"112","salt",0,0.5,5,0,0.5
"113","sandwich",0.5,1,4,0,1.5
"114","sauce",0.5,0.5,1,0,3
"115","sheep",8,0.5,3.5,0,4.5
"116","shirt",1,4.5,6,0,9
"117","shoe",6,15,7.5,0.5,16.5
"118","shorts",0,0,0.5,0,2
"119","shower",1,4,2,1,3
"120","sink",0,0.5,1.5,0,5
"121","slipper",0.5,1.5,1,0,8.5
"122","sneaker",0.5,0,0,0,0
